id,name,country_id,offset,offset_minutes,timezone_code
355,Australia/Brisbane,13,+10:00,+600,AEST
356,Australia/Broken_Hill,13,+09:30,+570,ACST
357,Australia/Canberra,13,+10:00,+600,AEST
358,Australia/Currie,13,+10:00,+600,AEST
359,Australia/Darwin,13,+09:30,+570,ACST
360,Australia/Eucla,13,+08:45,+525,ACWST
361,Australia/Hobart,13,+10:00,+600,AEST
362,Australia/LHI,13,+10:30,+630,LHST
363,Australia/Lindeman,13,+10:00,+600,AEST
364,Australia/Lord_Howe,13,+10:30,+630,LHST
365,Australia/Melbourne,13,+10:00,+600,AEST
366,Australia/NSW,13,+10:00,+600,AEST
367,Australia/North,13,+09:30,+570,ACST
368,Australia/Perth,13,+08:00,+480,AWST
369,Australia/Queensland,13,+10:00,+600,AEST
370,Australia/South,13,+09:30,+570,ACST
371,Australia/Sydney,13,+10:00,+600,AEST
372,Australia/Tasmania,13,+10:00,+600,AEST
373,Australia/Victoria,13,+10:00,+600,AEST
374,Australia/West,13,+08:00,+480,AWST
375,Australia/Yancowinna,13,+09:30,+570,ACST
376,Brazil/Acre,30,-05:00,-300,ACT
377,Brazil/DeNoronha,30,-02:00,-120,FNT
378,Brazil/East,30,-03:00,-180,BRT
379,Brazil/West,30,-04:00,-240,AMT
380,CET,205,+02:00,+120,CEST
381,CST6CDT,231,-05:00,-300,CDT
382,Canada/Atlantic,38,-03:00,-180,ADT
383,Canada/Central,38,-05:00,-300,CDT
384,Canada/Eastern,38,-04:00,-240,EDT
385,Canada/Mountain,38,-06:00,-360,MDT
386,Canada/Newfoundland,38,-02:30,-150,NDT
387,Canada/Pacific,38,-07:00,-420,PDT
388,Canada/Saskatchewan,38,-06:00,-360,CST
389,Canada/Yukon,38,-07:00,-420,MST
390,Chile/Continental,43,-03:00,-180,CLST
391,Chile/EasterIsland,43,-05:00,-300,EASST
392,Cuba,55,-04:00,-240,CDT
393,EET,56,+03:00,+180,EEST
394,EST,68,-05:00,-300,EST
395,EST5EDT,231,-04:00,-240,EDT
396,Egypt,64,+03:00,+180,EEST
397,Eire,105,+01:00,+60,IST
433,Europe/Amsterdam,155,+02:00,+120,CEST
434,Europe/Andorra,5,+02:00,+120,CEST
435,Europe/Astrakhan,181,+04:00,+240,4
436,Europe/Athens,85,+03:00,+180,EEST
437,Europe/Belfast,230,+01:00,+60,BST
438,Europe/Belgrade,193,+02:00,+120,CEST
439,Europe/Berlin,82,+02:00,+120,CEST
440,Europe/Bratislava,197,+02:00,+120,CEST
441,Europe/Brussels,21,+02:00,+120,CEST
442,Europe/Bucharest,180,+03:00,+180,EEST
443,Europe/Budapest,99,+02:00,+120,CEST
444,Europe/Busingen,82,+02:00,+120,CEST
445,Europe/Chisinau,144,+03:00,+180,EEST
446,Europe/Copenhagen,58,+02:00,+120,CEST
447,Europe/Dublin,105,+01:00,+60,IST
448,Europe/Gibraltar,84,+02:00,+120,CEST
449,Europe/Guernsey,91,+01:00,+60,BST
450,Europe/Helsinki,74,+03:00,+180,EEST
451,Europe/Isle_of_Man,136,+01:00,+60,BST
452,Europe/Istanbul,223,+03:00,+180,TRT
453,Europe/Jersey,110,+01:00,+60,BST
454,Europe/Kaliningrad,181,+02:00,+120,EET
455,Europe/Kiev,228,+03:00,+180,EEST
456,Europe/Kirov,181,+03:00,+180,MSK
457,Europe/Lisbon,176,+01:00,+60,WEST
458,Europe/Ljubljana,198,+02:00,+120,CEST
459,Europe/London,230,+01:00,+60,BST
460,Europe/Luxembourg,127,+02:00,+120,CEST
461,Europe/Madrid,205,+02:00,+120,CEST
462,Europe/Malta,135,+02:00,+120,CEST
463,Europe/Mariehamn,255,+03:00,+180,EEST
464,Europe/Minsk,20,+03:00,+180,FET
465,Europe/Monaco,145,+02:00,+120,CEST
466,Europe/Moscow,181,+03:00,+180,MSK
467,Europe/Nicosia,56,+03:00,+180,EEST
468,Europe/Oslo,164,+02:00,+120,CEST
469,Europe/Paris,75,+02:00,+120,CEST
470,Europe/Podgorica,249,+02:00,+120,CEST
471,Europe/Prague,57,+02:00,+120,CEST
472,Europe/Riga,120,+03:00,+180,EEST
473,Europe/Rome,107,+02:00,+120,CEST
474,Europe/Samara,181,+04:00,+240,SAMT
475,Europe/San_Marino,189,+02:00,+120,CEST
476,Europe/Sarajevo,27,+02:00,+120,CEST
477,Europe/Saratov,181,+04:00,+240,4
478,Europe/Simferopol,228,+03:00,+180,MSK
479,Europe/Skopje,129,+02:00,+120,CEST
480,Europe/Sofia,33,+03:00,+180,EEST
481,Europe/Stockholm,211,+02:00,+120,CEST
482,Europe/Tallinn,68,+03:00,+180,EEST
483,Europe/Tirane,2,+02:00,+120,CEST
484,Europe/Tiraspol,144,+03:00,+180,EEST
485,Europe/Ulyanovsk,181,+04:00,+240,ULAT
486,Europe/Uzhgorod,228,+03:00,+180,EEST
487,Europe/Vaduz,125,+02:00,+120,CEST
488,Europe/Vatican,236,+02:00,+120,CEST
489,Europe/Vienna,14,+02:00,+120,CEST
490,Europe/Vilnius,126,+03:00,+180,EEST
491,Europe/Volgograd,181,+03:00,+180,MSK
492,Europe/Warsaw,175,+02:00,+120,CEST
493,Europe/Zagreb,54,+02:00,+120,CEST
494,Europe/Zaporozhye,228,+03:00,+180,EEST
495,Europe/Zurich,212,+02:00,+120,CEST
496,GB,230,+01:00,+60,BST
497,GB-Eire,230,+01:00,+60,BST
501,Greenwich,230,+00:00,+0,GMT
502,HST,231,-10:00,-600,HST
503,Hongkong,98,+08:00,+480,HKT
504,Iceland,100,+00:00,+0,GMT
505,Indian/Antananarivo,130,+03:00,+180,EAT
506,Indian/Chagos,31,+06:00,+360,IOT
507,Indian/Christmas,45,+07:00,+420,CXT
508,Indian/Cocos,46,+06:30,+390,CCT
509,Indian/Comoro,48,+03:00,+180,EAT
510,Indian/Kerguelen,78,+05:00,+300,TFT
511,Indian/Mahe,194,+04:00,+240,SCT
512,Indian/Maldives,133,+05:00,+300,MVT
513,Indian/Mauritius,140,+04:00,+240,MUT
514,Indian/Mayotte,141,+03:00,+180,EAT
515,Indian/Reunion,179,+04:00,+240,RET
516,Iran,103,+03:30,+210,IRST
517,Israel,106,+03:00,+180,IDT
518,Jamaica,108,-05:00,-300,EST
